50	765	1
50	1267	1
50	2201	1
50	3532	2
50	3996	2
139	765	5
139	910	1
139	1477	1
139	1681	2
139	1769	1
139	1784	1
139	2201	1
139	2330	1
139	3287	1
139	3399	1
139	3953	1
139	3996	5
139	4024	1
139	4139	1
139	4717	1
139	4883	2
139	4915	1
139	5107	2
151	304	2
151	494	7
151	763	1
151	765	4
151	910	2
151	993	1
151	1033	5
151	1038	8
151	1185	1
151	1267	1
151	1307	2
151	1348	8
151	1501	1
151	1681	1
151	1736	4
151	1769	4
151	1823	1
151	2065	1
151	2123	1
151	2330	10
151	2789	1
151	3536	1
151	3710	2
151	3731	3
151	3762	1
151	3917	1
151	3953	11
151	3981	2
151	3996	19
151	4024	6
151	4139	3
151	4589	2
151	4883	6
151	4900	1
151	4915	2
151	4995	1
151	5107	3
151	5112	1
151	5287	1
244	765	2
244	1606	2
244	1681	1
304	424	1
304	763	1
304	765	3
304	1267	1
304	1769	2
304	1804	1
304	2201	1
304	2330	1
304	2626	2
304	3996	1
304	4139	2
304	4717	1
304	4747	1
304	4995	1
333	763	3
333	765	2
333	941	1
333	1519	1
333	1681	4
333	1804	1
333	1823	1
333	2330	1
333	3576	1
333	3762	1
333	3953	1
333	3996	1
333	4900	1
333	5287	1
424	763	2
424	765	3
424	910	1
424	941	3
424	993	1
424	1267	1
424	1477	1
424	1501	1
424	1681	1
424	1804	1
424	1823	1
424	2065	1
424	2201	1
424	2521	1
424	2626	1
424	2776	1
424	2801	2
424	3232	1
424	3287	1
424	3616	1
424	3953	4
424	3996	2
424	4024	1
424	4553	3
424	4589	2
424	4717	1
424	4747	2
424	4814	1
424	4915	1
494	765	2
494	1038	2
494	1185	2
494	1736	1
494	1769	2
494	2065	2
494	2330	4
494	2801	1
494	3532	1
494	3731	1
494	3948	1
494	3953	6
494	3981	1
494	3996	6
494	4024	1
494	4915	1
763	1033	1
763	1210	1
763	1267	1
763	1348	1
763	1681	2
763	1769	1
763	1784	1
763	1804	2
763	1823	2
763	2065	1
763	2123	1
763	2330	3
763	2521	1
763	3399	3
763	3420	1
763	3616	1
763	3924	4
763	3953	4
763	3996	2
763	4717	1
763	4814	1
763	4883	1
763	4900	2
763	5287	2
765	910	1
765	1038	1
765	1185	1
765	1210	1
765	1267	6
765	1307	5
765	1477	1
765	1501	1
765	1606	1
765	1681	4
765	1736	1
765	1769	4
765	1784	1
765	1823	4
765	2065	1
765	2073	1
765	2123	2
765	2246	3
765	2330	1
765	2521	3
765	2626	1
765	3232	4
765	3287	1
765	3399	7
765	3576	3
765	3616	2
765	3710	3
765	3731	1
765	3762	1
765	3924	2
765	3953	13
765	3981	1
765	3996	10
765	4024	1
765	4553	2
765	4589	1
765	4717	2
765	4747	2
765	4814	4
765	4883	3
765	4900	3
765	4915	3
765	4995	3
765	5112	2
765	5287	6
910	1267	1
910	1307	1
910	1519	1
910	1681	1
910	1736	2
910	1769	1
910	1804	2
910	2073	1
910	2330	1
