commonName,scientificName,alpha,aou,neoStat,nestLoc1,nestLoc2,nestType1,nestType2,foodType1,foodType2,foragingSubstrate1,foragingSubstrate2,foragingTechnique1,foragingTechnique2,habitat1,habitat2,notes
 White-rumped Sandpiper,Calidris fuscicollis,WRSA,2400,R,Ground,,Scrape,,Insects, Seeds,Ground, Water,Ground Gleaner, Prober,Tundra, Coastal,NA
 Wood Sandpiper,Tringa glareola,WOSA,2571,R,Ground, Woody Lower Canopy,Saucer,,Insects,NA,Water, Ground,Prober, Ground Gleaner,Coastal, Tundra,NA
 Red-breasted Sapsucker,Sphyrapicus ruber,RBSA,4030,B,Woody Upper Canopy, Snag,Cavity,,Insects, Tree Sap,Bark, Air,Bark Gleaner, Hawker,Forest,,NA
 Red-naped Sapsucker,Sphyrapicus nuehalis,RNSA,4021,B,Woody Lower Canopy,,Cavity,,Insects, Tree Sap,Bark, Air,Bark Gleaner, Hawker,Forest, Riparian,NA
 Williamsons Sapsucker,Sphyrapicus thyroideus,WISA,4040,B,Woody Upper Canopy,,Cavity,,Insects, Tree Sap,Bark, Ground,Bark Gleaner, Ground Gleaner,Forest,,NA
 Yellow-bellied Sapsucker,Sphyrapicus varius,YBSA,4020,B,Woody Upper Canopy,,Cavity,,Insects, Tree Sap,Bark, Air,Bark Gleaner, Hawker,Forest,,NA
 Greater Scaup,Aythya marila,GRSC,1480,R,Ground, Floating,Scrape,,Aquatic Inverts, Greens,Water,,Surface Dives,,Freshwater, Swamp/Marsh,NA
 Lesser Scaup,Aythya affinis,LESC,1490,R,Ground,,Scrape,,Aquatic Inverts, Greens,Water,,Surface Dives,,Freshwater, Swamp/Marsh,NA
 Black Scoter,Melanitta nigra,BLSC,1630,R,Ground,,Scrape,,Aquatic Inverts, Greens,Water,,Surface Dives,,Freshwater, Swamp/Marsh,NA
 Surf Scoter,Melanitta perspicillata,SUSC,1660,R,Ground,,Scrape,,Aquatic Inverts, Greens,Water,,Surface Dives,,Freshwater, Swamp/Marsh,NA
 White-winged Scoter,Melanitta fusca,WWSC,1650,R,Ground,,Scrape,,Aquatic Inverts, Greens,Water,,Surface Dives,,Freshwater,,NA
 Audubons Shearwater,Puffinus lherminieri,AUSH,920,R,Ground, Cliff,Burrow, Crevice,Fish, Aquatic Inverts,Water,,Scavenger, Low Patrol,Coastal, Pelagic,NA
 Black-vented Shearwater,Puffinus opisthomelas,BVSH,930,R,Ground, Cliff,Burrow,,Fish, Aquatic Inverts,Water,,Scavenger, Low Patrol,Coastal, Pelagic,NA
 Bullers Shearwater,Puffinus bulleri,BUSH,962,R,Ground,,Burrow,,Fish, Aquatic Inverts,Water,,Scavenger, Low Patrol,Coastal, Pelagic,NA
 Corys Shearwater,Calonectris diomedea,COSH,880,R,Ground, Cliff,Burrow, Crevice,Fish, Aquatic Inverts,Water,,Scavenger, Low Patrol,Coastal, Pelagic,NA
 Greater Shearwater,Puffinus gravis,GRSH,890,R,Ground,,Burrow,,Fish, Aquatic Inverts,Water,,Scavenger, Low Patrol,Coastal, Pelagic,NA
 Manx Shearwater,Puffinus puffinus,MASH,900,R,Cliff,,Burrow,,Fish, Aquatic Inverts,Water,,Scavenger, Low Patrol,Coastal, Pelagic,NA
 Pink-footed Shearwater,Puffinus creatopus,PFSH,910,R,Ground,,Burrow,,Fish, Aquatic Inverts,Water,,Scavenger, Low Patrol,Coastal, Pelagic,NA
 Short-tailed Shearwater,Puffinus tenuirostris,SHOS,960,R,Ground,,Burrow,,Fish,NA,Water,,Scavenger, Low Dives,Coastal, Pelagic,NA
 Sooty Shearwater,Puffinus griseus,SOSH,950,R,Ground,,Burrow,,Fish, Aquatic Inverts,Water,,Scavenger, Low Patrol,Coastal, Pelagic,NA
 Northern Shoveler,Anas clypeata,NSHO,1420,R,Ground,,Scrape,,Greens, Aquatic Inverts,Water,,Surface Dips,,Swamp/Marsh,,NA
 Loggerhead Shrike,Lanius ludovicianus,LOSH,6220,B,Woody Lower Canopy, Shrub,Cup,,Insects, Small Verts,Ground, Air,Swooper, Aerial Pursuit,Shrubland, Forest,NA
 Northern Shrike,Lanius excubitor,NSHR,6210,R,Woody Lower Canopy,,Cup,,Birds, Small Mammals,Ground, Air,Swooper, Aerial Pursuit,Forest, Shrubland,NA
 Pine Siskin,Carduelis pinus,PISI,5330,B,Woody Upper Canopy,,Saucer,,Seeds, Insects,Foliage, Ground,Foliage Gleaner, Ground Gleaner,Forest, Urban,NA
 Black Skimmer,Rynchops niger,BLSK,800,R,Ground,,Scrape,,Fish, Aquatic Inverts,Water,,Skimmer,,Coastal, Pelagic,NA
 Great Skua,Catharacta skua,GRSK,350,R,Ground, Cliff,Scrape,,Fish, Birds,Water, Air,Scavenger, Piracy,Coastal, Pelagic,NA
 South Polar Skua,Catharacta maccormicki,SPSK,352,R,Ground, Cliff,Scrape,,Fish, Birds,Water, Air,Scavenger, Piracy,Coastal, Pelagic,NA
 Eurasian Skylark,Alauda arvensis,EUSK,4730,R,Ground,,Saucer,,Seeds, Insects,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Grassland,,NA
 Common Snipe,Gallinago gallinago,COSN,2300,R,Ground,,Scrape,,Insects,NA,Water,,Prober,,Swamp/Marsh,,NA
 Townsends Solitaire,Myadestes townsendi,TOSO,7540,B,Ground, Snag,Cup, Cavity,Insects, Fruit,Air, Foliage,Hawker, Foliage Gleaner,Forest,,NA
 Sora,Porzana carolina,SORA,2140,R,Floating, Ground,Saucer,,Seeds, Insects,Ground, Water,Ground Gleaner, Prober,Swamp/Marsh,,NA
 American Tree Sparrow,Spizella arborea,ATSP,5590,R,Ground, Shrub,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Grassland, Shrubland,NA
 Bachmans Sparrow,Aimophila aestivalis,BACS,5750,R,Ground,,Cup,,Seeds, Insects,Ground,,Ground Gleaner,,Forest, Shrubland,NA
 Bairds Sparrow,Ammodramus bairdii,BAIS,5450,A,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Grassland,,NA
 Black-chinned Sparrow,Spizella atrogularis,BCSP,5650,A,Shrub, Woody Lower Canopy,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland,,NA
 Black-throated Sparrow,Amphispiza bilineata,BTSP,5730,B,Shrub, Cactus,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland,,NA
 Botteris Sparrow,Aimophila botterii,BOSP,5760,C,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Grassland, Shrubland,NA
 Brewers Sparrow,Spizella breweri,BRSP,5620,A,Shrub, Woody Lower Canopy,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Shrubland,,NA
 Cassins Sparrow,Aimophila cassinii,CASP,5780,B,Ground, Shrub,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Grassland, Shrubland,NA
 Chipping Sparrow,Spizella passerina,CHSP,5600,A,Woody Lower Canopy,,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest, Forest Edge,NA
 Clay-colored Sparrow,Spizella pallida,CCSP,5610,A,Shrub, Ground,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Shrubland, Forest Edge,NA
 Eurasian Tree Sparrow,Passer montanus,ETSP,6883,R,Woody Upper Canopy,,Cavity,,Seeds, Insects,Ground,,Ground Gleaner,,Forest, Urban,NA
 Field Sparrow,Spizella pusilla,FISP,5630,R,Ground, Shrub,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland, Forest Edge,NA
 Five-striped Sparrow,Amphispiza quinquestriata,FSSP,5742,R,Shrub, Ground,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland, Grassland,NA
 Fox Sparrow,Passerella iliaca,FOSP,5850,B,Ground, Shrub,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Forest, Forest Edge,NA
 Golden-crowned Sparrow,Zonotrichia atricapilla,GCSP,5570,R,Ground, Woody Lower Canopy,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Shrubland,,NA
 Grasshopper Sparrow,Ammodramus savannarum,GRSP,5460,A,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Grassland, Cropland,NA
 Harris Sparrow,Zonotrichia querula,HASP,5530,R,Ground,,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland, Forest,NA
 Henslows Sparrow,Ammodramus henslowii,HESP,5470,R,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Grassland, Shrubland,NA
 House Sparrow,Passer domesticus,HOSP,6882,R,MMS, Woody Upper Canopy,Cavity, Sphere,Seeds, Insects,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Urban, Cropland,NA
 Lark Sparrow,Chondestes grammacus,LASP,5520,A,Ground, Shrub,Cup,,Seeds, Insects,Ground,,Ground Gleaner,,Grassland, Shrubland,NA
 Le Contes Sparrow,Ammodramus leconteii,LCSP,5480,R,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Swamp/Marsh,,NA
 Lincolns Sparrow,Melospiza lincolnii,LISP,5830,A,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Swamp/Marsh, Riparian,NA
 Olive Sparrow,Arremonops rufivirgatus,OLSP,5860,R,Shrub, Cactus,Sphere,,Insects, Seeds,Ground,,Ground Gleaner,,Shrubland, Riparian,NA
 Rufous-crowned Sparrow,Aimophila ruficeps,RCSP,5800,R,Ground, Shrub,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland, Grassland,NA
 Rufous-winged Sparrow,Aimophila carpalis,RWSP,5790,R,Shrub, Cactus,Cup,,Insects, Seeds,Foliage, Air,Foliage Gleaner, Hawker,Shrubland, Grassland,NA
 Sage Sparrow,Amphispiza belli,SAGS,5740,B,Shrub, Ground,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland,,NA
 Savannah Sparrow,Passerculus sandwichensis,SAVS,5420,B,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Grassland, Swamp/Marsh,NA
 Seaside Sparrow,Ammodramus maritimus,SESP,5500,R,Ground, Shrub,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Swamp/Marsh,,NA
 Sharp-tailed Sparrow,Ammodramus caudacutus,STSP,5490,R,Ground, Shrub,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Swamp/Marsh,,NA
 Song Sparrow,Melospiza melodia,SOSP,5810,B,Ground, Shrub,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Riparian, Forest Edge,NA
 Swamp Sparrow,Melospiza georgiana,SWSP,5840,B,Shrub, Ground,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Swamp/Marsh,,NA
 Vesper Sparrow,Pooecetes gramineus,VESP,5400,B,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Grassland, Shrubland,NA
 White-crowned Sparrow,Zonotrichia leucophrys,WCSP,5540,B,Shrub, Ground,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland, Urban,NA
 White-throated Sparrow,Zonotrichia albicollis,WTSP,5580,B,Ground, Shrub,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest, Forest Edge,NA
 Roseate Spoonbill,Ajaia ajaja,ROSP,1830,R,Woody Lower Canopy, Shrub,Platform,,Fish, Aquatic Inverts,Water,,Prober,,Swamp/Marsh, Freshwater,NA
 European Starling,Sturnus vulgaris,EUST,4930,R,Woody Upper Canopy, MMS,Cavity,,Insects, Fruit,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Grassland, Urban,NA
 Black-necked Stilt,Himantopus mexicanus,BNST,2260,R,Ground,,Scrape,,Aquatic Inverts, Insects,Water, Ground,Prober, Ground Gleaner,Swamp/Marsh, Freshwater,NA
 Wood Stork,Mycteria americana,WOST,1880,R,Woody Upper Canopy,,Platform,,Fish, Aquatic Inverts,Water,,Prober,,Swamp/Marsh, Riparian,NA
 Surfbird,Aphriza virgata,SURF,2820,R,Ground,,Scrape,,Insects, Aquatic Inverts,Ground, Water,Ground Gleaner, Prober,Coastal,,NA
 Bank Swallow,Riparia riparia,BANS,6160,A,Bank,,Burrow,,Insects,NA,Air,,Aerial Foraging,,Freshwater, Grassland,NA
 Barn Swallow,Hirundo rustica,BARS,6130,A,MMS,,Cup,,Insects, Fruit,Air,,Aerial Foraging,,Freshwater, Grassland,NA
 Cave Swallow,Hirundo fulva,CASW,6121,C,Cave, MMS,Cup,,Insects,NA,Air,,Aerial Foraging,,Freshwater, Grassland,NA
 Cliff Swallow,Hirundo pyrrhonota,CLSW,6120,A,MMS, Cliff,Cup,,Insects, Fruit,Air,,Aerial Foraging,,Freshwater, Grassland,NA
 Northern Rough-winged Swallow,Stelgidopteryx serripennis,NRWS,6170,A,Bank, Cliff,Burrow, Crevice,Insects,NA,Air,,Aerial Foraging,,Freshwater, Grassland,NA
 Tree Swallow,Tachycineta bicolor,TRES,6140,B,Snag, Woody Upper Canopy,Cavity,,Insects, Fruit,Air, Foliage,Aerial Foraging, Foliage Gleaner,Freshwater, Grassland,NA
 Violet-green Swallow,Tachycineta thalassina,VGSW,6150,A,Snag, Woody Upper Canopy,Cavity,,Insects,NA,Air,,Aerial Foraging,,Forest,,NA
 Mute Swan,Cygnus olor,MUSW,1782,R,Ground,,Platform,,Greens, Aquatic Inverts,Water,,Surface Dips, Dabbler,Freshwater, Swamp/Marsh,NA
 Trumpeter Swan,Cygnus buccinator,TRUS,1810,R,Ground,,Platform,,Greens, Aquatic Inverts,Water,,Surface Dips, Dabbler,Freshwater, Swamp/Marsh,NA
 Whistling Swan,Cygnus columbianus,WHSW,1800,R,Ground,,Platform,,Greens, Aquatic Inverts,Water,,Surface Dips, Dabbler,Freshwater, Tundra,NA
 Whooper Swan,Cygnus cygnus,WHOS,1790,R,Ground,,Platform,,Greens, Aquatic Inverts,Water,,Surface Dips, Dabbler,Coastal, Tundra,NA
 Black Swift,Cypseloides niger,BLSW,4220,A,Cliff,,Saucer,,Insects,NA,Air,,Aerial Foraging,,Rocky Slope, Shoreline,NA
 Chimney Swift,Chaetura pelagica,CHSW,4230,A,MMS, Woody Upper Canopy,Saucer,,Insects,NA,Air,,Aerial Foraging,,Forest, Urban,NA
 Vauxs Swift,Chaetura vauxi,VASW,4240,A,Snag, MMS,Saucer,,Insects,NA,Air,,Aerial Foraging,,Forest,,NA
 White-throated Swift,Aeronautes saxatalis,WTSW,4250,A,Cliff,,Crevice,,Insects,NA,Air,,Aerial Foraging,,Rocky Slope, Shoreline,NA
 Hepatic Tanager,Piranga flava,HETA,6090,A,Woody Upper Canopy,,Saucer,,Insects, Fruit,Foliage, Air,Foliage Gleaner, Hawker,Forest, Riparian,NA
 Scarlet Tanager,Piranga olivacea,SCTA,6080,A,Woody Upper Canopy,,Saucer,,Insects, Fruit,Air, Foliage,Hover Gleaner, Foliage Gleaner,Forest,,NA
 Summer Tanager,Piranga rubra,SUTA,6100,A,Woody Upper Canopy,,Cup,,Insects, Fruit,Foliage, Air,Foliage Gleaner, Hawker,Forest, Riparian,NA
 Western Tanager,Piranga ludoviciana,WETA,6070,A,Woody Upper Canopy,,Cup,,Insects, Fruit,Foliage, Air,Foliage Gleaner, Hawker,Forest,,NA
 Wandering Tattler,Heteroscelus incanus,WATA,2590,R,Ground,,Scrape,,Insects, Aquatic Inverts,Water,,Prober,,Freshwater, Riparian,NA
 Blue-winged Teal,Anas discors,BWTE,1400,R,Ground,,Scrape,,Seeds, Greens,Water,,Surface Dips, Dabbler,Freshwater, Swamp/Marsh,NA
 Cinnamon Teal,Anas cyanoptera,CITE,1410,R,Ground,,Scrape,,Seeds, Insects,Water,,Surface Dips, Dabbler,Swamp/Marsh, Freshwater,NA
 Green-winged Teal,Anas crecca,AGWT,1390,R,Ground,,Scrape,,Seeds, Aquatic Inverts,Ground, Water,Ground Gleaner, Dabbler,Swamp/Marsh, Freshwater,NA
 Aleutian Tern,Sterna aleutica,ALTE,730,R,Ground,,Scrape,,Fish, Aquatic Inverts,Water,,High Dives,,Coastal, Pelagic,NA
 Arctic Tern,Sterna paradisaea,ARTE,710,R,Ground,,Scrape,,Fish, Aquatic Inverts,Water,,High Dives,,Tundra, Coastal,NA
 Black Tern,Chlidonias niger,BLTE,770,R,Floating, Ground,Platform, Scrape,Insects, Aquatic Inverts,Air, Water,Hawker, Skimmer,Swamp/Marsh,,NA
 Caspian Tern,Sterna caspia,CATE,640,R,Ground,,Scrape,,Fish, Aquatic Inverts,Water,,High Dives,,Coastal, Freshwater,NA
 Common Tern,Sterna hirundo,COTE,700,R,Ground,,Scrape,,Fish, Aquatic Inverts,Water,,High Dives,,Coastal, Tundra,NA
 Elegant Tern,Sterna elegans,ELTE,660,R,Ground,,Scrape,,Fish,NA,Water,,Scavenger, High Dives,Coastal, Pelagic,NA
 Forsters Tern,Sterna forsteri,FOTE,690,R,Floating, Ground,Platform, Saucer,Fish, Insects,Water, Air,High Dives, Aerial Foraging,Swamp/Marsh,,NA
