sortID,common,spp,sex,N,meanMass,sDev,minMass,maxMass,season,location,citationNumber, 
5586,,,,,,,,,,,,
5587,Small Pratincole,Glareola lactea,U,4,39.8,,37,44,,India,7,
5588,,,,,,,,,,,,
5589,,,,,,,,,,,,
5591,Northern Lapwing,Vanellus vanellus,M,32,211,17.9,140,242,B,Netherlands; Germany,223,
5592,,Vanellus vanellus,F,40,226,21.8,180,317,,,,
5593,Long-toed Lapwing,Vanellus crassirostris,B,2,170,,170,170,,eastern Africa,120,
5594,,,,,,,,,,,,
5595,Blacksmith Lapwing,Vanellus armatus,B,264,156, ,114,211,,,584a,
5596,,,,,,,,,,,,
5597,Spur-winged Lapwing,Vanellus spinosus,M,78,192,9.4, , ,B,Israel,1348,
5598,,Vanellus spinosus,F,78,184,10.2,,,,,,
5599,River Lapwing,Vanellus duvaucelii,M,3,,,164,185,,,7,
5600,,Vanellus duvaucelii,F,1,143,,,,,,,
5601,Yellow-wattled Lapwing,Vanellus malabaricus,U,3,140,,108,203,,,584a,
5602,,,,,,,,,,,,
5603,Black-headed Lapwing,Vanellus tectus,F,1,100,,,,,,584a,
5604,,,,,,,,,,,,
5605,White-headed Lapwing,Vanellus albiceps,B,14,192,,161,214,,Zimbabwe; South Africa,1036,
5606,,, , ,,,,,,,,
5607,Senegal Lapwing,Vanellus lugubris,U,15,122,,109,140,,South Africa,1036,
5608,,,,,,,,,,,,
5609,Black-winged Lapwing,Vanellus melanopterus,M,12,191,,163,214,,South Africa,1036,
5610,,Vanellus melanopterus,F,4,179,,165,197,,,,
5611,Crowned Lapwing,Vanellus coronatus,U,8,165,,148,200,,Namibia,"526, 584a",
5612,,,,,,,,,,,,
5613,Wattled Lapwing,Vanellus senegallus,B,28,248,,160,287,,Zimbabwe,1036,
5614,,,,,,,,,,,,
5615,Spot-breasted Lapwing,Vanellus melanocephalus,U,2,214,,199,228,,,584a,
5616,,,,,,,,,,,,
5617,Brown-chested Lapwing,Vanellus superciliosus,U,,150,,,,,estimated,584a,
5618,,,,,,,,,,,,
5619,Gray-headed Lapwing,Vanellus cinereus,B,7,270,,236,296,,"Hopei, China",1087,
5620,,,,,,,,,,,,
5621,Red-wattled Lapwing,Vanellus indicus,U,21,181,,110,230,,,584a,
5622,,,,,,,,,,,,
5623,Sunda Lapwing,Vanellus macropterus,U, ,325,,,,,estimated,584a,
5624,,,,,,,,,,,,
5625,Banded Lapwing,Vanellus tricolor,U,9,184,,140,216,,"Victoria, Australia",251,
5626,,,,,,,,,,,,
5627,Masked Lapwing,Vanellus miles,U,96,387,26.5,333,440,,"Victoria, Australia",746,
5628,,,,,,,,,,,,
5629,Sociable Lapwing,Vanellus gregarius,M,2,252,,245,260,,,584a,
5630,,Vanellus gregarius,F,7,200,,180,252,,,,
5631,White-tailed Lapwing,Vanellus leucurus,B,7,132,,99,198,,Iraq; Afghanistan; former USSR,223,
5632,,,,,,,,,,,,
5633,Pied Lapwing,Vanellus cayanus,M,6,70,,54,80,, ,"498, 584a",
5634,,Vanellus cayanus,F,4,82,,78,84,,,,
5635,Southern Lapwing,Vanellus chilensis,B,3,327,,277,426,,,"63, 155, 546",
5636,,,,,,,,,,,,
5637,Andean Lapwing,Vanellus resplendens,B,12,214,,193,230,,,584a,
5638,,,,,,,,,,,,
5639,Red-kneed Dotterel,Erythrogonys cinctus,U,114,51.4,3.8,42,60,,"New South Wales, Australia",746,
5640,,,,,,,,,,,,
5641,Pacific Golden-Plover,Pluvialis fulva,M,19,130,5.5,120,139,B,"Alaska, USA",597,
5642,,Pluvialis fulva,F,16,140,14.4,116,168,,,,
5643,American Golden-Plover,Pluvialis dominica ,M,14,149,7.6,138,166,B,"Alaska, USA",597,
5644,,Pluvialis dominica ,F,11,154,5.6,146,166,,,,
5645,Eurasian Golden-Plover,Pluvialis apricaria,U,402,214,15.5,165,260,Sp,Netherlands,223,
5646,,,,,,,,,,,,
5647,Black-bellied Plover,Pluvialis squatarola,U,33,250,23.3,195,283,PB,Netherlands,223,
5648,,,,,,,,,,,,
5649,Red-breasted Dotterel,Charadrius obscurus,U,23,146,10.4,129,168,,New Zealand,746,
5650,,, , , ,,,,,,,
5651,Common Ringed Plover,Charadrius hiaticula,M,41,63.3,,57.6,72,B,Netherlands,432,
5652,,Charadrius hiaticula,F,34,64.8,,55.4,74.5,,,,
5653,Semipalmated Plover,Charadrius semipalmatus,M,26,47.4,5.9,37.6,57.4,Sp,eastern USA,314,
5654,,Charadrius semipalmatus,F,24,46.1,4.7,39.2,56.5,,,,
5655,Long-billed Plover,Charadrius placidus,B,19,62.7,,41,70,,,584a,
5656,,,,,,,,,,,,
5657,Little Ringed Plover,Charadrius dubius,B,461,38.7,,33,48.3,B,Netherlands,223,
5658,,,,,,,,,,,,
5659,Wilson's Plover,Charadrius wilsonia,B,39,55.1,7.1,45.2,80,W,Panama,1180,
5660,,,,,,,,,,,,
5661,Killdeer,Charadrius vociferus,M,10,92.1,10.4,83.9,109,B,"Great Plains, USA",314,
5662,,Charadrius vociferus,F,6,101,,87.7,121,,,,
5663,Piping Plover,Charadrius melodus,U,87,55.2,,46.4,63.7,B,"New York, USA",1304,
5664,,,,,,,,,,,,
5665,Piping Plover,Charadrius melodus,B,69,53.6,2.6,46.5,62,B,"Maryland, USA",702,
5666,,,,,,,,,,,,
5667,Madagascar Plover,Charadrius thoracicus,U,1,11.5,,,,,Madagascar,957,
5668,,,,,,,,,,,,
5669,Kittlitz's Plover,Charadrius pecuarius,U,886,34,,19,49,,,133,
5670,,,,,,,,,,,,
5671,Three-banded Plover,Charadrius tricollaris,U,11,31.2,,25,38,,,584a,
5672,,,,,,,,,,,,
5673,White-fronted Plover,Charadrius marginatus,U,262,48.3,,,,,,584a,
5674,,,,,,,,,,,,
5675,Chestnut-banded Plover,Charadrius pallidus,U,17,34.8,,,,,,584a,
5676,,,,,,,,,,,,
5677,Snowy Plover,Charadrius nivosus,B,458,42.3, ,35,58,B,"California, USA",892,
5678,,,,,,,,,,,,
5679,Red-capped Plover,Charadrius ruficapillus,B,463,37.4,,32,50,Y,"Victoria, Australia",746,
5680,,, , , ,,,,,,,
5681,Malaysian Plover,Charadrius peronii,U,,42,,,,,,133,
5682,,,,,,,,,,,,
5683,Collared Plover,Charadrius collaris,B,18,28.3,1.7,25.8,31,W,Panama ,1180,
5684,,,,,,,,,,,,
5685,Puna Plover,Charadrius alticola,B,7,44.9,,41,49,,,"584a, 1040, 1042",
5686,,,,,,,,,,,,
5687,Two-banded Plover,Charadrius falklandicus,B,8,65,,62,72,,,"210, 546, 584a",
5688,,,,,,,,,,,,
5689,Double-banded Plover,Charadrius bicinctus,B,183,59.4,3.9, , ,W,"Victoria, Australia",746,
5690,,,,,,,,,,,,
5691,Lesser Sand-Plover,Charadrius mongolus,U,46,64,3.3,56,71,B,"Victoria, Australia",746,
5692,,,,,,,,,,,,
5693,Greater Sand-Plover,Charadrius leschenaultii,U,599,74.8,4.5,63,87,Sp,northwest Australia,746,
5694,,,,,,,,,,,,
5695,Caspian Plover,Charadrius asiaticus,B,21,77.1,7.9,63,91,,Kazakhstan; former USSR,223,
5696,,,,,,,,,,,,
5697,Oriental Plover,Charadrius veredus,U,58,95,9, , ,Sp,northwest Australia,746,
5698,,,,,,,,,,,,
5699,Eurasian Dotterel,Charadrius morinellus,M,10,100,,88,116,B,former USSR,432,
5700,,Charadrius morinellus,F,5,117,,98.9,130,,,,
5701,Rufous-chested Dotterel,Charadrius modestus,B,5,78,,71,89,,,584a,
5702,,,,,,,,,,,,
5703,Mountain Plover,Charadrius montanus,M,26,95.1,6.5, , ,W,"California, USA",642,
5704,,Charadrius montanus,F,13,96.4,8.7, , ,,,,
5705,Hooded Plover,Thinornis rubricollis,U,12,100,8.9,79,100,,Australia,746,
5706,,,,,,,,,,, ,
5707,Shore Plover,Thinornis novaeseelandiae,B,24,61,3.3,52,69,,Chatham Islands,746,
5708,,,,,,,,,,,,
5709,Black-fronted Dotterel,Elseyornis melanops ,U,40,33,3.1,27,42,,New Zealand,746,
5710,,, ,,,, , ,,,,
5711,Inland Dotterel,Peltohyas australis,B,14,83.5,,64,107,,Australia,746,
5712,,, , , ,, , ,,,,
5713,Wrybill,Anarhynchus frontalis,M,46,58.6,5.3, , ,,New Zealand,746,
5714,,Anarhynchus frontalis,F,75,56.7,3.7,,,,,,
5715,Diademed Sandpiper-Plover,Phegornis mitchellii,B,5,35.5,,28,46,,,584a,
5716,,,,,,,,,,,,
5717,Tawny-throated Dotterel,Oreopholus ruficollis ,U,10,131,,120,145,,,"210, 584a",
5718,,,,,,,,,,,,
5719,,,,,,,,,,,,
5721,Magellanic Plover,Pluvianellus socialis,M,,89,,79,102,,,584a,
5722,,Pluvianellus socialis,F,,79.5,,69.5,87,,,,
5723,,,,,,,,,,,,
5725,Eurasian Woodcock,Scolopax rusticola,M,250,306,26.1,250,410,W,Ireland ,223,
5726,,Scolopax rusticola,F,234,313,25.5,205,420,,,,
5727,Eurasian Woodcock,Scolopax rusticola,U,6,306,,242,451,,Japan,555,
5728,,,,,,,,,,,,
5729,Amami Woodcock,Scolopax mira,U,15,447,35.9,405,541,,Japan,555,
5730,,,,,,,,,,,,
5731,Dusky Woodcock,Scolopax saturata ,U,2,205,,189,220,,,"387, 584a",
5732,,,,,,,,,,,,
5733,Bukidnon Woodcock,Scolopax bukidnonensis,B,4,238,,193,310,,"Mindanao, Philippines",626a,
5734,,,,,,,,,,,,
5735,American Woodcock,Scolopax minor,M,390,176,,,222,,,844,
5736,,Scolopax minor,F,313,219,,,278,,,,
5737,Chatham Island Snipe,Coenocorypha pusilla,M,24,75.9,4.8,69,85,B,New Zealand,515a,
5738,,Coenocorypha pusilla,F,24,85.4,5.7,77,94,,,,
5739,Subantarctic Snipe,Coenocorypha aucklandica,M,92,101,4.8,89,118,B,New Zealand,515a,
5740,,Coenocorypha aucklandica,F,62,116,6.6,98,128,,,,
5741,Jack Snipe,Lymnocryptes minimus,M,17,53.7,6.9,41,63,W,Netherlands,223,
5742,,Lymnocryptes minimus,F,8,46.7,,33,73,,,,
5743,Solitary Snipe,Gallinago solitaria,M,,,,130,148,,,584a,
5744,,Gallinago solitaria,F,,,,126,159,,,,
5745,Latham's Snipe,Gallinago hardwickii,M,36,144,22.4,129,182,W,Australia ,515a,
5746,,Gallinago hardwickii,F,41,159,18.4,143,178,,,,
5747,Wood Snipe,Gallinago nemoricola,U,,,,142,198,,,7,
5748,,,,,,,,,,,,
5749,Pintail Snipe,Gallinago stenura,B,472,113,, , ,,southern India,7,
5750,,,,,,,,,,,,
5751,Swinhoe's Snipe,Gallinago megala,B,9,121,,103,135, ,Australia,515a,
5752,,,,,,,,,,,,
5753,African Snipe,Gallinago nigripennis,U,28,112,,90,164,,,133,
5754,,,,,,,,,,,,
5755,Madagascar Snipe,Gallinago macrodactyla,F,1,216,,,,,Madagascar,68,
5756,,,,,,,,,,,,
5757,Great Snipe,Gallinago media,M,143,157,6.4,,,B,Norway,527,
5758,,Gallinago media,F,67,184,14.5,,,,,,
5759,Common Snipe,Gallinago gallinago raddei,M,20,97,,74,115,,"Hopei, China",1087,
5760,,Gallinago gallinago raddei,F,16,113,,90,153,,,,
5761,Wilson's Snipe,Gallinago delicata,M,15,128,,,156,,,844,
5762,,Gallinago delicata,F,14,116,,,156,,,,
5763,South American Snipe,Gallinago paraguaiae,M,15,106,,85,139,,Suriname,498,
5764,,Gallinago paraguaiae,F,20,113,,85,145,,,,
5765,Puna Snipe,Gallinago andina,F,1,108,,,,,Peru,900,
5766,,,,,,,,,,,,
5767,Noble Snipe,Gallinago nobilis,M,1,188,,,,,,584a,
5768,,Gallinago nobilis,F,1,197,,,,,,,
5769,Giant Snipe,Gallinago undulata,M,5,294,,270,320,,,584a,
5770,,Gallinago undulata,F,3,332,,282,363,,,,
5771,Fuegian Snipe,Gallinago stricklandii,M,1,252,,,,,Bolivia,963,
5772,,,,,,,,,,,,
5773,Andean Snipe,Gallinago jamesoni,U,8,166,,140,224,,,584a,
5774,,,,,,,,,,,,
5775,Short-billed Dowitcher,Limnodromus griseus hendersoni,M,7,100,,75,129,F,,223,
5776,,Limnodromus griseus hendersoni,F,3,117,,114,122,,,,
5777,Short-billed Dowitcher,Limnodromus griseus griseus,M,12,110,,73,152,F,"New Jersey, USA",430,
5778,,Limnodromus griseus griseus,F,30,116,,82.5,154,,,,
5779,Long-billed Dowitcher,Limnodromus scolopaceus,M,28,100,,90,114,B,"Alaska, USA",554,
5780,,Limnodromus scolopaceus,F,11,109,,93,119,,,,
5781,Asian Dowitcher,Limnodromus semipalmatus,B,14,212,12.7,190,235,Sp,Australia,515a,
5782,,,,,,,,,,,,
5783,Black-tailed Godwit,Limosa limosa limosa,M,11,252,,235,367,,,273,
5784,,Limosa limosa limosa,F,11,330,,297,362,,,,
5785,Hudsonian Godwit,Limosa haemastica,M,6,222,,,,,,576,
5786,,Limosa haemastica,F,6,289,,,,,,,
5787,Bar-tailed Godwit,Limosa lapponica lapponica,M,69,309,25.2,233,360,W,"Britain, UK",223,
5788,,Limosa lapponica lapponica,F,20,276,25.1,348,455,,,,
5789,Bar-tailed Godwit,Limosa lapponica baueri,M,123,282,24.7,225,380,W,New Zealand,772,
5790,,Limosa lapponica baueri,F,173,332,21.7,245,400,,,,
5791,Bar-tailed Godwit,Limosa lapponica menzbieri,M,119,264,22.7,,,,Australia,515a,
5792,,Limosa lapponica menzbieri,F,53,292,17.6,,,,,,
5793,Marbled Godwit,Limosa fedoa,M,40,326,23,285,396,B,"Alberta, Canada",445,
5794,,Limosa fedoa,F,43,391,25,352,454,,,,
5795,Eskimo Curlew,Numenius borealis,U,,,,270,454,,,421,
5796,,,,,,,,,,,,
5797,Little Curlew,Numenius minutus,U,338,173,16,118,221,Sp,Australia,515a,
5798,,,,,,,,,,,,
5799,Whimbrel,Numenius phaeopus,M,29,355,22.1,310,403,B,"Manitoba & Ontario, Canada",1115,
5800,,Numenius phaeopus,F,36,404,29.1,345,459,,,,
5801,Whimbrel,Numenius phaeopus variegatus,M,5,325,,305,348,,"Tsingtao, China",1088,
5802,,Numenius phaeopus variegatus,F,4,379,,310,460,,,,
5803,Bristle-thighed Curlew,Numenius tahitiensis,M,38,374,26.4,309,450,B,"Alaska, USA",757,
5804,,Numenius tahitiensis,F,35,428,23.4,389,485,,,,
5805,Slender-billed Curlew,Numenius tenuirostris,F,2,308,,255,360,F,,584a,
5806,,,,,,,,,,,,
5807,Eurasian Curlew,Numenius arquata,M,124,742,68.7,540,900,F,Netherlands,223,
5808,,Numenius arquata,F,97,869,68.2,720,1050,,,,
5809,Long-billed Curlew,Numenius americanus,M,12,531,32.7,493,597,B,"Idaho, USA",314,
5810,,Numenius americanus,F,24,642,31.5,570,689,,,,
5811,Far Eastern Curlew,Numenius madagascariensis,U,12,792,,565,1150,W,,584a,
5812,,,,,,,,,,,,
5813,Upland Sandpiper,Bartramia longicauda,M,27,154,,126,170,, ,537,
5814,,Bartramia longicauda,F,34,164,,127,218,,,,
5815,Terek Sandpiper,Xenus cinereus,U,370,78.8,7.8,59,104,Sp,northwest Australia,515a,
5816,,,,,,,,,,,,
5817,Common Sandpiper,Actitis hypoleucos,B,22,48,,40,59,B,Afghanistan; Kazakhstan; Mongolia,223,
5818,,,,,,,,,,,,
5819,Spotted Sandpiper,Actitis macularius,U,56,40.4,6.2,29.4,59.8,S,"Pennsylvania, USA",314,
5820,,,,,,,,,,,,
5821,Green Sandpiper,Tringa ochropus,U,19,71.4,10.4,53,93,M,north Africa,223,
5822,,,,,,,,,,,,
5823,Solitary Sandpiper,Tringa solitaria,U,104,48.4,8.6,31.1,65.1,Sp,Venezuela,1216,
5824,,,,,,,,,,,,
5825,Gray-tailed Tattler,Tringa brevipes,U,348,127,10.6, , ,F,northwest Australia,515a,
5826,,,,,,,,,,,,
5827,Wandering Tattler,Tringa incana ,M,13,101,,87,114,B,"Alaska, USA",554,
5828,,Tringa incana ,F,16,116,,98,130,,,,
5829,Spotted Redshank,Tringa erythropus,U,65,158,13.1,140,210,F,"Britain, UK",223,
5830,,,,,,,,,,,,
5831,Greater Yellowlegs,Tringa melanoleuca,U,16,153,13, , ,W, ,333,
5832,,,,,,,,,,,,
5833,Greater Yellowlegs,Tringa melanoleuca,B,19,171,,132,215,,Suriname,498,
5834,,,,,,,,,,,,
5835,Common Greenshank,Tringa nebularia,U,74,187,17,125,230,Sp,Australia,515a,
5836,,,,,,,,,,,,
5837,Willet,Tringa semipalmata inornata,M,26,258,14.3,220,282, ,"Alberta, Canada",724,
5838,, Tringa semipalmata inornata,F,25,283,16.8,246,327,,,,
5839,Willet,Tringa semipalmata semipalmata,M,19,208,5.4,199,218,,"New York, USA",724,
5840,, Tringa semipalmata semipalmata,F,18,240,13.5,217,263,,,,
5841,Lesser Yellowlegs,Tringa flavipes,U,45,77.5,8.2,63,96,W,Latin America,223,
5842,,,,,,,,,,,,
5843,Marsh Sandpiper,Tringa stagnatilis,B,61,77.5,,55,120,M,China,223,
5844,,,,,,,,,,,,
5845,Nordmann's Greenshank,Tringa guttifer,M,3,,,136,141,,,584a,
5846,,Tringa guttifer,F,1,158,,,,,,,
5847,Wood Sandpiper,Tringa glareola,M,16,62,,52,81,B,"White Sea, former USSR",223,
5848,,Tringa glareola,F,11,73,,51,89,,,,
5849,Wood Sandpiper,Tringa glareola,U,131,53,6.9,,,Sp,Israel,1356,
5850,,,,,,,,,,,,
5851,Wood Sandpiper,Tringa glareola,U,730,61.8,,31,130, ,southern Africa,1036,
5852,,, , , ,, , ,,,,
5853,Common Redshank,Tringa totanus,B,200,129,,107,152,B,,584a,
5854,,,,,,,,,,,,
5855,Tuamotu Sandpiper,Prosobonia cancellata,B,7,36,,32,44,,,584a,
5856,,,,,,,,,,,,
5857,Ruddy Turnstone,Arenaria interpres,M,31,134,10.2,,,Sp,northwest Australia,515a,
5858,,Arenaria interpres,F,32,138,8.7,,,,,,
5859,Black Turnstone,Arenaria melanocephala,M,50,118,7.7,97,134,B,"Alaska, USA",474,
5860,,Arenaria melanocephala,F,42,135,12.4,114,169,,,,
5861,Surfbird,Aphriza virgata,M,48,187,17.9,156,225,Sp,"Alaska, USA",1081,
5862,,Aphriza virgata,F,19,216,18.7,182,251,,,,
5863,Great Knot,Calidris tenuirostris,U,125,192,33.1,115,261,Sp,Western Australia,515a,
5864,,,,,,,,,,,,
5865,Red Knot,Calidris canutus,B,608,148,19.2,101,206,F,"Massachusetts, USA",480,
5866,,, , , ,, , ,,,,
5867,Red Knot,Calidris canutus,B,518,136,16.9,100,187,F,Western Australia,515a,
5868,,,,,,,,,,,,
5869,Sanderling,Calidris alba,B,45,57,,47,72.5,B,Greenland,515,
5870,,,,,,,,,,,,
5871,Sanderling,Calidris alba,M,17,47.3,3,,,W,Panama,732,
5872,,Calidris alba,F,10,51.3,2.4,,,,,,
5873,Semipalmated Sandpiper,Calidris pusilla,U,300,27.5,2.1,,,B,"Manitoba, Canada",444,
5874,,,,,,,,,,,,
5875,Western Sandpiper,Calidris mauri,M,39,26.6,1.9, , ,B,"Alaska, USA",884,
5876,,Calidris mauri,F,34,29.1,2.3,,,,,,
5877,Red-necked Stint,Calidris ruficollis ,M,70,26.4,1.6,22.3,31.5,W,Australia ,515a,
5878,,Calidris ruficollis ,F,56,27.2,1.8,22.1,31, ,,,
5879,Little Stint,Calidris minuta,U,248,21.1, ,17,27,W,Kenya ,515a,
5880,,,,,,,,,,,,
5881,Temminck's Stint,Calidris temminckii,B,111,23,3,14.7,36,F,France,223,
5882,,,,,,,,,,,,
5883,Long-toed Stint,Calidris subminuta,B,20,30.2,,23,37,,,584a,
5884,,,,,,,,,,,,
5885,Least Sandpiper,Calidris minutilla,M,42,22,1.4,19.7,26.4,B,"British Columbia, Canada",215,
5886,,Calidris minutilla,F,50,23.8,1.4,20.9,26.4,,,,
5887,White-rumped Sandpiper,Calidris fuscicollis,U,367,34.7,4.6,27.5,45.7,M,Venezuela,1216,
5888,,,,,,,,,,,,
5889,White-rumped Sandpiper,Calidris fuscicollis,M,56,46.9,6.3,,,Sp,"North Dakota, USA",656a,
5890,,Calidris fuscicollis,F,68,48.9,5.7,,,,,,
5891,Baird's Sandpiper,Calidris bairdii,M,46,38.6,4,,,B,"Alaska, USA",730,
5892,,Calidris bairdii,F,16,43.5,4.9,,,,,,
5893,Pectoral Sandpiper,Calidris melanotos,M,74,97.8,8,,,B,"Alaska, USA",730,
5894,,Calidris melanotos,F,38,65,6.2,,,,,,
5895,Sharp-tailed Sandpiper,Calidris acuminata,M,161,74.4,5.4,54,92,W,"Victoria, Australia",515a,
5896,,Calidris acuminata,F,195,58.7,5.2,49,88,,,,
5897,Curlew Sandpiper,Calidris ferruginea,M,205,56.6,4.6,,,W,"Victoria, Australia",515a,
5898,,Calidris ferruginea,F,74,59.6,4.1,,,,,,
5899,Dunlin,Calidris alpina schinzii,M,92,44.2,,,,,,576,
5900,,Calidris alpina schinzii,F,92,49.6,,,,,,,
5901,Dunlin,Calidris alpina sakhalina,M,267,55.4,,,,B,"Alaska, USA",731,
5902,,Calidris alpina sakhalina,F,177,59.7,,,,,,,
5903,Purple Sandpiper,Calidris maritima,U,35,67.6,6,58,80,W,"Maine, USA",903,
5904,,, , , ,, , ,,,,
5905,Purple Sandpiper,Calidris maritima,U,72,62.7,6.9,53,85,W,"Scotland, UK",903,
5906,,,,,,,,,,,,
5907,Rock Sandpiper,Calidris ptilocnemis ptilocnemis,M,33,86.8,6.7,71.5,105,B,"Pribilof Islands, Alaska, USA",422,
5908,,Calidris ptilocnemis ptilocnemis,F,12,106,12.8,75,130,,,,
5909,Rock Sandpiper,Calidris ptilocnemis,M,17,72.6,4.2,62.4,79,B,"Nunivak Is., Alaska, USA",422,
5910,,     tschuktschorumCalidris ptilocnemis,F,11,78.6,7.9,59,87,,,,
5911,Rock Sandpiper,Calidris ptilocnemis couesi,M,65,71.3,8.4,57.4,100,B,"Aleutian Islands, USA",422,
5912,,Calidris ptilocnemis couesi,F,37,77.3,9,60,102,,,,
5913,Stilt Sandpiper,Calidris himantopus,M,24,53.8,,48,60.8,B,"Manitoba, Canada",641,
5914,,Calidris himantopus,F,15,60.9,,52,68,,,,
5915,Spoon-billed Sandpiper,Eurynorhynchus pygmeus,M,,29.5,,,,,male estimated,584a,
5916,,Eurynorhynchus pygmeus,F,1,34,,,,,,,
5917,Broad-billed Sandpiper,Limicola falcinellus ,U,69,37.1,3.4,29,52,F,Australia,515a,
5918,,,,,,,,,,,,
5919,Buff-breasted Sandpiper,Tryngites subruficollis,M,67,68.5,3.6,57.5,77.5,B,"Alaska, USA",667,
5920,,Tryngites subruficollis,F,58,56.3,3.7,46,65.3,,,,
5921,Ruff,Philomachus pugnax,M,100,170,21.2,130,210, ,Africa,515a,
5922,,Philomachus pugnax,F,1001,102,9.6,78,147,,,,
5923,Wilson's Phalarope,Phalaropus tricolor,M,155,51.8,4.1,40,62,B,"Saskatchewan, Canada",206,
5924,,Phalaropus tricolor,F,48,68.1,7.1,55,85,,,,
5925,Red-necked Phalarope,Phalaropus lobatus,M,179,34.5,2.6,,,B,"Hudson Bay, Canada",515a,
5926,,Phalaropus lobatus,F,97,39,4.8,,,,,,
5927,Red Phalarope,Phalaropus fulicarius,M,93,49.7,3.8,,,B,"Alaska, USA",1228,
5928,,Phalaropus fulicarius,F,29,62.2,6.1,,,,,,
5929,,,,,,,,,,,,
5931,Plains-wanderer,Pedionomus torquatus,M,108,54,7,39,78,,"New South Wales, Australia ",746,
5932,,Pedionomus torquatus,F,64,72.4,10.3,57,95,,,,
5933,,,,,,,,,,,,
5935,Rufous-bellied Seedsnipe,Attagis gayi,B,4,311,,283,330,,Peru; Bolivia,1145,
5936,,,,,,,,,,,,
5937,White-bellied Seedsnipe,Attagis malouinus,M,6,340,,312,398,,Tierra del Fuego,546,
5938,,,,,,,,,,,,
5939,Gray-breasted Seedsnipe,Thinocorus orbignyianus,B,16,115,13,96,140,,Peru; Bolivia,1145,
5940,,,,,,,,,,,,
5941,Least Seedsnipe,Thinocorus rumicivorus,B,15,53.1,3.5,48,59.9,,Argentina,210,
5942,,,,,,,,,,,,
5943,,,,,,,,,,,,
5945,Snowy Sheathbill,Chionis albus,M,40,719,39.9,640,810,,S. Shetland Islands,355,
5946,,Chionis albus,F,37,635,43.5,560,720,,,,
5947,Black-faced Sheathbill,Chionis minor minor ,M,37,625,47.8,520,730, ,Kerguelen Islands,746,
5948,,Chionis minor minor ,F,35,551,45.3,480,670,,,,
5949,Black-faced Sheathbill,Chionis minor crozettensis,U,23,350,11,250,460,,Crozet Islands,746,
5950,,,,,,,,,,,,
5951,,,,,,,,,,,,
5953,Chilean Skua,Stercorarius chilensis,M,8,1324, ,1193,1525,,Tierra del Fuego; Chile,"546, 861b",
5954,,Stercorarius chilensis,F,3,1413, ,1275,1532,,,,
5955,South Polar Skua,Stercorarius maccormicki,M,26,1277,95,1120,1440,B,"Ross Sea, Antarctica",515a,
5956,,Stercorarius maccormicki,F,23,1421,75,1280,1550,,,,
5957,Brown Skua,Stercorarius antarcticus hamiltoni,M,9,1429,,1300,1600,B,Gough Island,397,
5958,,Stercorarius antarcticus hamiltoni,F,9,1649,,1550,1800,,,,
5959,Brown Skua,Stercorarius antarcticus lonnbergi,M,30,1735,75.4,1610,1960,B,Chatham Island,515a,
5960,,Stercorarius antarcticus lonnbergi,F,32,1935,130,1660,2180,,,,
5961,Great Skua,Stercorarius skua,M,112,1271,69.4,,,B,Shetland Islands,175,
5962,,Stercorarius skua,F,125,1409,75,,,,,,
5963,Pomarine Jaeger,Stercorarius pomarinus,M,73,648,6.2,542,797,,"Alaska, USA",737,
5964,,Stercorarius pomarinus,F,52,740,11.7,576,917,,,,
5965,Parasitic Jaeger,Stercorarius parasiticus,M,219,413,,306,523,B,north Atlantic,62,
5966,,Stercorarius parasiticus,F,189,478,,306,604,,,,
5967,Long-tailed Jaeger,Stercorarius longicaudus,M,38,270,21.6,218,320,,Greenland ,1307,
5968,,Stercorarius longicaudus,F,48,307,39.2,262,444,,,,
5969,,,,,,,,,,,,
5971,Dolphin Gull,Larus scoresbii,M,16,544,32.7,,,B,Argentina ,1349,
5972,,Larus scoresbii,F,16,489,30,,,,,,
5973,Dolphin Gull,Larus scoresbii,M,3,558,,525,575,,Chile,1082,
5974,,Larus scoresbii,F,4,506,,450,550,,,,
5975,Pacific Gull,Larus pacificus,M,5,1550,,1200,1800,, ,515a,
5976,,Larus pacificus,F,4,1077,,910,1400,,,,
5977,Belcher's Gull,Larus belcheri,M,2,718,,710,725,,Chile,1082,
5978,,Larus belcheri,F,2,568,,560,575,,,,
5979,Olrog's Gull,Larus atlanticus,M,2,930,,900,960,,Argentina ,278,
5980,,Larus atlanticus,F,3,763,,750,790,,,,
5981,Black-tailed Gull,Larus crassirostris,B,25,561,,420,930,,"Tsingtao, China",1088,
5982,,, , , ,, , ,,,,
5983,Gray Gull,Larus modestus,B,10,344,39.7,250,380,,Chile,1082,
5984,,,,,,,,,,,,
5985,Heermann's Gull,Larus heermanni,U,10,500,71.6,371,643,,"Sonora, Mexico",1150,
5986,,,,,,,,,,,,
5987,White-eyed Gull,Larus leucophthalmus,M,10,357,,325,415,,Egypt,1244,
5988,,Larus leucophthalmus,F,9,303,,275,355,,,,
5989,Sooty Gull,Larus hemprichii,M,1,510,,,,B,eastern Africa,120,
5990,,Larus hemprichii,F,1,400,,,,,,,
5991,Mew Gull,Larus canus canus,M,96,432,,340,552,B,North Atlantic Ocean,62,
5992,,Larus canus canus,F,72,375,,290,530,,,,
5993,Mew Gull,Larus canus kamtschatschensis,F,2,490,,394,586,,,273,
5994,,,,,,,,,,,,
